"Key";"Source";"Translation"
"confuciusornis";"Confuciusornis, the ""Confucius Bird,"" is a well-documented genus of animals from the Yixian and Jiufotang Formations in China. With a length of fifty centimeters and a wingspan of seventy centimeters, the Confuciusornis was not very different from modern birds. It was one of the earliest birds known to have a toothless beak, despite not being closely related to modern birds. The beak therefore developed through convergent evolution, which is the evolution of similar features in unrelated animals. Fossils of its wings include many melanosomes (cells that contain pigment), allowing us to learn that it was colored grey, red/brown, and black. The wings were probably white, with the long tail feathers being dark along their entire length. Confuciusornis was a piscivore, catching and feeding upon small Cretaceous fish with its beak. This diet is demonstrated in a fossil specimen preserved with its last meal in its belly, similar to the famous Compsognathus fossils. As a whole, Confuciusornis fossils are intriguing because some have the long tail feathers but others do not, and some are much larger than others. The best explanation for this variability is sexual dimorphism: the leading hypothesis states that the larger ones are the females, and both sexes lost the feathers during molting season.";""
"crassigyrinus";"Crassigyrinus, the ""thick tadpole,"" was the rebellious teenager of life's transition to land. This two-meter-long creature was one of the first tetrapods, or animals with four legs. You might not have noticed, though, because of its tiny limbs! Crassigyrinus' limbs were likely vestigial because it had readapted to a fully aquatic life-style. This left it with a slender, eel-like profile that was perfect for prowling the early Carboniferous waters it called home. Following the teenage trend of ungainly proportions, its head and jaws were gigantic in order to accommodate massive eyes and two rows of teeth. These adaptations made Crassigyrinus an effective predator. Its streamlined body helped it move swiftly through the water, while its hefty head tore into its prey of choice: small vertebrates, like fish. This wee beastie swam in the swamps and lakes of what is now Scotland. Its large eyes were perfectly adept at peering through the murky water that it lived in, and may have also provided nocturnal vision for when it snuck out past curfew and tried to go party at the pub. Other frequenters of the Scottish swamps included Crassigyrinus' the small fish that it feasted upon, anthracosaurs like Proterogyrinus, terrestrial temnospondyls, and an assortment of arthropods.";""
"deinonychus";"Deinonychus, the ""Terrible Claw,"" is a famous dinosaur that was at the forefront of paleontologist John Ostrom's ""dinosaur renaissance."" Ostrom lead the charge in reforming dinosaurs from slow, cold-blooded lizards to the swift, warm-blooded birds we know today, effectively revolutionizing dinosaur knowledge. With a maximum length of three meters and height of about a meter, Deinonychus was a strong creature with a powerful body ready to attack. Like its fellow dromaeosaurids, it possessed a sickle-shaped claw on its second toe and likely had feathers covering its entire body. Living during the early Cretaceous Period, Deinonychus made its home in North America's tropical climates. Deinonychus' limbs could grasp and clutch objects well. They may have allowed for tree climbing, leading to possible arboreal behavior. The Deinonychus hunted small- and medium-sized dinosaurs with a technique called ""raptor prey restraint,"" in which it attacked prey, held it down, and ate it alive. Although many people believe they hunted in packs to tackle large prey like Tenontosaurus, a different hypothesis states that Deinonychus may have ""mobbed"" prey, similar to how Komodo dragons hunt alone but gather in groups to feast on recent kills.";""
"dicranurus";"Dicranurus (Die-cran-urr-us) is one of the most bizarre trilobites, even among its family odontopleuridae, which contains some real weirdos. Its body segments are elongated at the sides into fearsome spikes, with two large spines coming out of its cheeks � the strangest feature, however, are the two curved horns which extend from the back of the glabella. While these spines may have been intimidating at the bottom of the sea covering Oklahoma during the Devonian, Dicranurus is only about two inches long. Interestingly, this trilobite was used as an initial inspiration for an alien design for a particular film released in 2012, so perhaps these spines do have some merit in being scary! Don�t worry though � this Dicranurus won�t be attacking people or laying eggs in their chest any time soon.";""
"dilophosaurus";"Dilophosaurus, the ""Two Crested Lizard,"" is a dinosaur made famous by the movie Jurassic Park's fictitious size, frill, and venomous spit. The real Dilophosaurus was just as fascinating without the fabricated details and is just as beloved by dinosaur fans. With a maximum length of about six meters long and a height of almost two meters tall, the Dilophosaurus was about the same height as an adult human. It grew rapidly with age, and by the time it was an adult it could feed upon many small dinosaurs. Several Dilophosaurus fossils preserving deformities such as injuries and tumors have been found, giving us insight into the stressful environments and ailments that these creatures lived with. Roaming North America during the early Jurassic Period, Dilophosaurus enjoyed arid environments that few known creatures lived in. As one of the largest carnivores of the time, the Dilophosaurus asserted itself in the food chain. To satiate its appetite, the Dilophosaurus likely fed on small armored herbivores or heterodontosaurids. It may have also fed upon aquatic life as evidenced by swim track trace fossils. Its famous head crests were used for display in order to attract a suitable mate, and they likely doubled as a form of identification between Dilophosaurs.";""
"dimetrodon";"Dimetrodon (Dai-meh-truh-daan) is a large four-legged carnivore that lived during the Early and Middle Permian in what is now North America and Europe. Its name means �two measures of teeth� in reference to the long and short teeth found in its jaws. While you�d be mistaken for thinking this animal is a reptile, it�s actually a synapsid, part of the same lineage represented solely by mammals today. Easily the most recognizable feature of Dimetrodon is its characteristic sail. Many ideas regarding its function have been tossed around, from thermoregulation to display to allowing other Dimetrodons to identify males and females of their species. In reality, it�s likely the sail served multiple purposes, but exactly what these were is still up in the air. What do you think Dimetrodon could have used its sail for? The species in front of you is Dimetrodon grandis, which is common in museums today and is the second-largest known Dimetrodon species (the largest is D. angelensis, and the smallest is D. teutonis!) It lived in the Red Beds of Texas and Oklahoma, USA (a wetland at the time), hunting animals such as Edaphosaurus and Diplocaulus, and alongside Calamites trees and the freshwater shark-relative Xenacanthus!";""
"dimorphodon";"Dimorphodon (dy-mor-fo-don) was a small pterosaur that lived in the Early Jurassic. Its name means �two-formed teeth� in reference to its heterodont dentition, or multiple types of teeth in its mouth. While common in mammals, this is generally rare in reptiles. While definitively a carnivore, there was some debate in the past as to what types of animals this pterosaur was eating. Tooth microwear analysis suggests a diet of primarily vertebrates such as other reptiles. When compared to Quetzalcoatlus and Pteranodon, Dimorphodon would appear quite primitive, sporting a long tail, short neck, and toothy mouth. It helps to keep in mind that Dimorphodon existed 120 million years before these larger, more derived pterosaurs. Modern reconstructions of Dimorphodon�s locomotion suggest it was particularly able on the ground, more so than many later pterosaurs. Coupled with its shorter wings, this may suggest Dimorphodon spent a lot of time on the ground, and took quick flights rather than soaring for long distances. This pterosaur was also likely a good climber! Hailing from the Jurassic Coast of England, Dimorphodon may have inhabited coastal forests. In the same rocks that yield its fossils, we find fossils of the shark Hybodus, Ichthyosaurus, and Plesiosaurus. No wonder it was initially thought of as a seafarer!";""
"diplocaulus";"Diplocaulus, meaning ""double caul,"" is a beloved critter with a unique boomerang-shaped head! This meter-long amphibian was described by E. D. Cope in 1877, the first year of the famous ""Bone War"" between Cope and his colleague, O. C. Marsh. Today, little Diplocaulus is the subject of its own new ""war"" - some researchers speculate that its horns sported skin flaps that connect to its neck, giving it a wider silhouette. However, most people depict Diplocaulus without this connective tissue because no evidence for it has been found. Many hypotheses about the function of its boomerang-head have been put forward by paleontologists since its discovery. One study suggested that its odd head created lift, helping it to ascend and descend in the water. Diplocaulus inhabited the waterways of North America and Africa from the late Carboniferous to the Permian period. Fully aquatic, its diet likely consisted of small fish. Evidence shows that during the dry season, Diplocaulus likely went into estivation (a form of hibernation that takes place over the summer). Regardless, we know they dug burrows for shelter, due to a fossilized burrow of eight Diplocaulus curled into balls! In a vivid display of nature's brutality, this burrow was raided by the famous Permian carnivore Dimetrodon, who killed and partially ate three juveniles.";""
"diplodocus";"Diplodocus, the ""double-beam,"" is one of the most famous dinosaurs in the world. This 24-meter-long, four-meter-tall dinosaur can be found in dozens of museums worldwide, making ""Dippy"" recognizeable everywhere. Its absurdly long tail is perhaps its most iconic feature: it tapers to a flexible ""whip-like"" end, which some enthusiasts speculate could have been used as a real whip against predators. This tail also functioned as a counterbalance to the massive, heavy neck that stretched from the front of its body. While some sauropods like Brachiosaurus had longer arms than legs, giving them more vertical postures, Diplodocus's arms were shorter, giving it a horizontal posture. This hefty herbivore browsed the Jurassic foliage of semi-arid coasts in what is now the central United States. Diplodocus lived alongside several other sauropods, including Apatosaurus and Camarasaurus, so the landscape must have been constantly altered wherever these hungry diners stopped to enjoy the buffet. Based on the shape of their teeth, paleontologists can tell that each species of sauropod ate a different kind of plant in order to avoid competition with each other. Many predators (such as Allosaurus, Ceratosaurus, and Torvosaurus) also shared the same habitat with these sauropods, and would have had to eat different prey to avoid competition as well.";""
"dodo";"Raphus cucullatus, the Dodo bird, is an adorable and lovable flightless bird that succumbed to the wild colonization of man. Dutch sailors first recorded the existence of the bird in 1598 on the island of Mauritius, which is east of Madagascar. Over the course of the next century, hunting by sailors and invasive species drove it to extinction less than one hundred years after the first encounter. Unfortunately for the dodo, humanity's selfish desire for land and comfort clashed with the natural order of Mauritius, ending this beautiful species. Its extinction has helped call attention to humanity's growing involvement in species extinction worldwide. The dodo inhabited the woodland areas around the coastline of Mauritius. Early accounts of by the Dutch detail the bird's behavior. It was herbivorous, feeding on nuts, seeds, bulbs, and fruit. Though flightless, its small wings were likely used for display and balance. Its robust legs were strong and allowed it to move and maneuver swiftly. It had an intense bite for such an adorable animal, which it used for defense. Due to its unflinching nature, the settlers believed the bird to be stupid or fearless. To some, the dodo's meat was unpalatable, but others viewed it favorably despite toughness.";""
"dryosaurus";"Dryosaurus, the ""Tree Lizard,"" was a speedy little creature from the late Jurassic that fans find endearing due to its adorable looks. With a maximum legnth of about four meters and a height of two meters, Dryosaurus was on the smaller side during a time of titans. These small creatures required a well-built body to remain away from the wide maws of predators. Its strong legs made it a swift runner, and its stiff tail served as an effective counterbalance that allowed it to be incredibly agile. Considering the dangerous carnivores of the time, Dryosaurus' speed was quite necessary to evade the likes of Ceratosaurus and Allosaurus. Scampering across the semiarid environments of what is now the western United States, Dryosaurus lived in forested habitats near rivers and floodplains alongside many famous titans, such as Diplodocus and Stegosaurus. While the mighty sauropods fed upon high vegetation, Dryosaurus elected to browse lower hanging plants for sustenance. Like other ornithopod dinosaurs, it had a beak on its mouth that assisted in chewing plant matter; in addition, its cheek structure allowed it to hold food in its mouth while chewing, like human cheeks, preventing any unnecessary food loss.";""
"edaphosaurus";"The enigmatic Edaphosaurus, aka the ""pavement lizard,"" will not be tread on! Like many other prehistoric critters, there were several species of Edaphosaurus that spanned across multiple geologic periods: from the Carboniferous to the Permian. The largest species could grow to an impressive three meters long! Despite sporting a similar sail to the Permian predator Dimetrodon, Edaphosaurus was actually a gentle herbivore. The name ""pavement lizard"" refers to its densely-packed teeth, which sat in deep jaws that sported mighty muscles. Ferns must have quivered with fear when they saw the formidable Edaphosaurus appear! During the Carboniferous, Edaphosaurus lived in iconic rainforests called coal forests (named for the fact that its plant matter became coal). The species that lived in the Permian period still inhabited lush marshes, but experienced gradual global warming and drying as the planet transitioned to hot, dry deserts. Although some researchers hypothesized that its large sail was useful for cooling the body, it was likely used for either fat storage or display instead. The ""pavement lizard"" paraded its sail across a large range, extending across much of the modern United States, only vulnerable to falling prey to large predators like Dimetrodon.";""
"elasmotherium";"Elasmotherium, the ""Thin Plate Beast,"" is a prehistoric mammal from a time when everything seemed to grow larger and hairier. With a length of about four and a half meters and a height of over two meters, the Elasmotherium was not an incredibly large creature, but its large horn and power compensated for it. Its meter-tall horn was made of keratin, the substance that makes up human nails, and was probably used for defense and display. Though it weighed almost twice the weight of a white rhinoceros, the Elasmotherium is thought to have been able to gallop just like its modern relative. Living during the late Pliocene to the late Plesitocene, it roamed Eurasia grazing on grass and sometimes browsing selectively to find the most nutritious plants. It likely inhabited savannas, areas with brush, and closed forests. Legends across Asia refer to a beast with a large horn, and some ancient art depicts a creature resembling the Elasmotherium. In Western Europe, tales and Paleolithic art speak of large, horned beasts. If these beasts are Elasmotherium, then their range actually consisted of Western Europe in addition to Eurasia. These legends only add to the mystery of these creatures that science is still working to solve.";""
"gallimimus";"Gallimimus, the ""Chicken Mimic,"" looks very much like an ostrich and moves like one too. At over two meters tall and six meters long, this interesting dinosaur was not much taller than a human but was much longer and faster. Its long limbs and strong, hollow bones assisted in very fast running, which helped it get from place to place and escape predators if need be. Its long, stiff tail served as a counterbalance while running. Unlike other members of its family Ornithomimidae, it had short hands and an elongated skull due to its long snout. However, like other ornitho-mimids, Gallimimus was covered with a handsome coat of feathers, complete with wing-like arms. Gallimimus fossils are found in Mongolia's Nemegt Formation, a geological formation from the late Cretaceous Period. The environment of this formation was originally humid floodplains, rivers, and lakes. It featured a wide variety of animal life and a rich amount of plant life, which was plenty of food to support omnivorous Gallimimus. Gallimimus' diet likely consisted of mostly high-fiber vegetation, but may have occassionally included small animals that it could swallow whole. Although it may have eaten meat, it certainly was not the top of the food chain; its long legs would have come in handy escaping from the local tyrannosaurids.";""
"gastornis";"Gastornis, the ""Gaston's Bird,"" is the unwanted stepchild of the ""terror birds."" Although it superficially looks like the fearsome predators, it was more closely related to modern waterfowl. This two-meter-tall bird is only a terror to plants! Originally Gastornis was thought to be a carnivore, but the structure of the beak suggests it fed on tough plant matter. However, like the terror birds, Gastornis' skull and beak were huge compared to the rest of its body, though it lacked a raptorial hook on its beak. Its deep lower jaw and strong muscles still gave it a nasty bite, which was used to crack open nuts and seeds. Footprints of Gastornis exhibit a distinct lack of the hooked talons that were so popular among the cooler terror birds. Living from the Paleocene to the Eocene Periods, Gastornis' range was far and wide across the woodlands of Europe, the United States, and China. Its earliest fossils hail from England, where it was the largest tetropod on land. It likely originated there before spreading to China and then North America via the Bering land bridge. Though it coexisted with herbivorous mammals called pantodonts, competition with mammals is often thought to be the reason why they went extinct.";""
"henodus";"Henodus, the ""Single Tooth,"" is a prehistoric placodont that is famous for its resemblance to a modern sea turtle. Its iconic flat face and shell allows it to stand out compared to true prehistoric turtles, even though it is relatively small at only a meter long. Its shell was very wide and featured an intricate mosaic pattern due to the large amount of pieces that constituted it. Like a turtle, this shell was attached to its spine, meaning it could not leave its shell. Its dopey little limbs, accustomed to swimming, were virtually useless on land. Henodus likely spent all its time in brackish and freshwater lagoons in prehistoric Germany, where quiet waters wouldn't sweep it away. Living in the Triassic Period, it was one of the few Mesozoic creatures that figured out the art of filter-feeding. Sometimes thought to have used its two teeth to munch on crustaceans, it is now more commonly accepted that Henodus used baleen-like structures in its mouth to filter out algae from the surrounding waters. It may have also had an expandable throat that allowed it to suck in the water more easily.";""
"ichthyosaurus";"Ichthyosaurus, the ""Fish Lizard,"" was described by Jules Verne as ""the most terrible of the ancient monsters of the deep."" However, the real Ichthyosaurus was very different from the hundred-foot-long monster depicted in ""Journey to the Center of the Earth."" These small, two-meter-long, torpedo-shaped reptiles were rather dolphin-like. They moved their tails side-to-side like fish, but still breathed air, controlled their boyancy, and gave birth to live young. Ichthyosaurus lived from the late Triassic to the early Jurassic Periods across what is now Europe and Asia. It was a common sight in both coastal and open ocean habitats, giving it an extremely wide range to roam. It was a successful carnivore, feeding on smaller aquatic reptiles and fish with its pointed jaws and sharp, conical teeth. Fossils of other ichthyosaurs show effects of decompression sickness, a condition that arises when a creatures moves from a high pressure environment to a low pressure one too quickly. It is likely that Ichthyosaurus, like its relatives, dove to great depths to hunt and would suffer from the same illness if it returned to the surface too quickly. Its large eyes allowed it to hunt fish by sight, even in the low light of great depths.";""
"kelenken";"Kelenken, the ""Winged Deity,"" isn't exactly popular enough to really be considered a deity, but at least it isn't a weird herbivore like Gastornis. But perhaps it qualifies with its size; at two and a half meters tall, Kelenken was the largest of the ""terror birds."" Terror certainly was the right word to describe any animal with a fierce, hooked beak such as this. Incredibly agile and swift, Kelenken chased down its prey without mercy. It had two possible methods of attack: blows from the beak or picking up and shaking. Blows from the beak would shatter bones during chases, rendering its food immobile and so it could administer the final blow. When picking up its prey, it could vigorously shake it until its back broke, paralyzing it. Living in South America during the Miocene Period, its large size and massive, 28-centimeter-long beak made it king of the foothills that it lived in. These ancient foothills are what is now the giant Andes Mountains. Kelenken roamed these future mountains using its spectacular beak as a weapon, likely chasing down speedy ungulates. It was not the only king of the hills, however; carnivorous mammal Patagosmilus also prowled this land, but it is unknown how their niches overlapped.";""
"liopleurodon";"Liopleurodon, the ""Smooth-Sided Teeth,"" was a genus of marine reptiles, specifically of short-necked plesiosaurs called pliosaurs. Liopleurodon's long skull was approximately one-fifth of its total length; therefore, the largest known specimen, with a head length of 126 centimeters, was gigantic at over six meters long. Although this is certainly a large size, it stands in stark contrast to BBC's popular but erroneous depiction of it as a 25-meter-long monster. Liopleurodon had four strong, paddle-like limbs that propelled it forward quickly, a feature that is common amongst plesiosaurs. With the great acceleration provided by its flippers and a keen sense of smell, Liopleurodon may have been an ambush predator. With fossils found all across Europe, Liopleurodon prowled the waves of the middle- to late-Jurassic island continent. As an apex predator, it struck fear into the hearts of any creature that may have crossed its path. It was a piscivore and a carnivore with its diet including giant Jurassic fishes, sharks, ichthyosaurs, and even other plesiosaurs, like Cryptoclidus, which have been found preserved with Liopleurodon bite marks.";""
"lonchodomas";"Lonchodomas (Lon-ko-dome-as) is a peculiar little trilobite hailing from the Ordovician of Russia, known best for its three long spines. Like the rest of the raphiophorid trilobites, Lonchodomas lacked eyes � it navigated the world mostly using its antenna. The large spine on the front of the head may have also been used to feel around its environment, however it could also have been used to fight one another, similar to some modern insects. The two spines extending from its cheeks are more of a mystery � perhaps they were also used as sensory tools, or maybe they deterred predators from biting onto them. Interestingly, several fossils of Lonchodomas have been found with multiple individuals preserved walking in a line � maybe these spines were used to keep themselves in line, feeling the trilobite in front of them to ensure they didn�t get lost. Some aquatic invertebrates today, like lobster, will also form long chains during their migrations, so perhaps these Lonchodomas were fossilized along their migration route. Now that you have one wandering around, maybe you can test this theory!";""
"mammoth";"Mammoths, also known by their genus name Mammuthus, the ""Mammon's Horn,"" may appear to be a fuzzy elephant, but puberty hit this one hard. Like its modern cousins, mammoths were quite large creatures, with the tallest of them reaching four meters tall with a weight of eight tonnes. Both genders possessed long, curving tusks, unlike their modern relatives. Legends and mystique surrounded the mammoth as far back as the 1600s, for many claimed to have seen the mammoth in all its furry glory. Thanks to cold climates, mammoths were incredibly well-preserved, and some bodies even bleed upon excavation. Living during the Pliocene to the early Holocene, the mammoth walked the Earth for almost five million years across North America, Europe, and Asia. Depending on the location, mammoths' diets differed from one another but were unified in their love for plants. They must have had some mean gardens. American mammoths were grazers that fed on trees and shrubs; others ate herbs and grasses. Baby Siberian mammoths ate the dung of the adults due to soft baby teeth that could not chew grass at the time. Climate change and over-hunting are blamed for the extinction of this hairy creature. However, science might yet prove that extinction does not have to be forever as de-extinction efforts are focusing on the mammoth.";""
"megalania";"Megalania, also known as Varanus priscus (which means ""Ancient Lizard Beast""), is a giant monitor lizard from Australia that grew approximately five to seven meters long, although it is difficult to estimate its size due to a lack of complete fossil skeletons. The megalania was similar to the Komodo dragon, its closest extant relative, meaning that it possibly could have been venomous. However, it is unlikely that we will know for sure unless a skull fossil is discovered. If it was indeed venomous, the venom would have been a nasty hemotoxin, which increases bleeding by stopping coagulation in the blood. This prehistoric butcher lived in Pleistocene Australia, living up to Australia's stereotype of deadly fauna. It lived in an open semiarid scrub where it hunted the giant marsupial Diprotodon and competed against other apex predators like the crocodile Quinkana, the snake Wonambi, and the predatory marsupial Thylacoleo. It also possibly lived alongside early Australian aboriginals, who arrived on the continent around 65,000 years ago. These prehistoric people tended to use fire to hunt; they set fire to forests to flush out animals. Their presence had a dramatic impact on the Australian megafauna, including megalania, which all went extinct around 50,000 to 40,000 years ago.";""
