"Key";"Source";"Translation";"Context"
"item.fossil.bone_unique_diplodocus";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.diplodocus"
"item.fossil.bone_unique_dodo";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.dodo"
"item.fossil.bone_unique_dryosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.dryosaurus"
"item.fossil.bone_unique_edaphosaurus";"%s Sail";"%s Segel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.edaphosaurus"
"item.fossil.bone_unique_elasmotherium";"%s Horn";"%s Horn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.elasmotherium"
"item.fossil.bone_unique_gallimimus";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.gallimimus"
"item.fossil.bone_unique_gastornis";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.gastornis"
"item.fossil.bone_unique_henodus";"%s Shell";"%s Panzer";"Keep the variable %s. It will be replaced with the translation of entity.fossil.henodus"
"item.fossil.bone_unique_ichthyosaurus";"%s Scleretic Ring";"%s Skleralring";"Keep the variable %s. It will be replaced with the translation of entity.fossil.ichthyosaurus"
"item.fossil.bone_unique_kelenken";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.kelenken"
"item.fossil.bone_unique_liopleurodon";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.liopleurodon"
"item.fossil.bone_unique_mammoth";"%s Tusk";"%s Stoßzahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.mammoth"
"item.fossil.bone_unique_megalania";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.megalania"
"item.fossil.bone_unique_megaloceros";"%s Antler";"%s Geweih";"Keep the variable %s. It will be replaced with the translation of entity.fossil.megaloceros"
"item.fossil.bone_unique_megalodon";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.megalodon"
"item.fossil.bone_unique_mosasaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.mosasaurus"
"item.fossil.bone_unique_ornitholestes";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.ornitholestes"
"item.fossil.bone_unique_pachycephalosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.pachycephalosaurus"
"item.fossil.bone_unique_pachyrhinosaurus";"%s Boss";"%s Boss";"Keep the variable %s. It will be replaced with the translation of entity.fossil.pachyrhinosaurus"
"item.fossil.bone_unique_parasaurolophus";"%s Hoof";"%s Huf";"Keep the variable %s. It will be replaced with the translation of entity.fossil.parasaurolophus"
"item.fossil.bone_unique_phorusrhacos";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.phorusrhacos"
"item.fossil.bone_unique_platybelodon";"%s Tusk";"%s Stoßzahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.platybelodon"
"item.fossil.bone_unique_plesiosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.plesiosaurus"
"item.fossil.bone_unique_postosuchus";"%s Hand";"%s Hand";"Keep the variable %s. It will be replaced with the translation of entity.fossil.postosuchus"
"item.fossil.bone_unique_protoceratops";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.protoceratops"
"item.fossil.bone_unique_psittacosaurus";"%s Horn";"%s Horn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.psittacosaurus"
"item.fossil.bone_unique_pteranodon";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.pteranodon"
"item.fossil.bone_unique_quagga";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.quagga"
"item.fossil.bone_unique_quetzalcoatlus";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.quetzalcoatlus"
"item.fossil.bone_unique_sarcosuchus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.sarcosuchus"
"item.fossil.bone_unique_smilodon";"%s Fang";"%s Fangzahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.smilodon"
"item.fossil.bone_unique_spinosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.spinosaurus"
"item.fossil.bone_unique_stegosaurus";"%s Plates";"%s Platten";"Keep the variable %s. It will be replaced with the translation of entity.fossil.stegosaurus"
"item.fossil.bone_unique_therizinosaurus";"%s Claws";"%s Klauen";"Keep the variable %s. It will be replaced with the translation of entity.fossil.therizinosaurus"
"item.fossil.bone_unique_tiktaalik";"%s Fin";"%s Finne";"Keep the variable %s. It will be replaced with the translation of entity.fossil.tiktaalik"
"item.fossil.bone_unique_titanis";"%s Wing";"%s Flügel";"Keep the variable %s. It will be replaced with the translation of entity.fossil.titanis"
"item.fossil.bone_unique_triceratops";"%s Horn";"%s Horn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.triceratops"
"item.fossil.bone_unique_tyrannosaurus";"%s Tooth";"%s Zahn";"Keep the variable %s. It will be replaced with the translation of entity.fossil.tyrannosaurus"
"item.fossil.bone_unique_velociraptor";"%s Claw";"%s Klaue";"Keep the variable %s. It will be replaced with the translation of entity.fossil.velociraptor"
"item.fossil.broken_helmet";"Broken Ancient Helmet";"Zerbrochener antiker Helm";""
"item.fossil.broken_sword";"Broken Ancient Sword";"Zerbrochenes antikes Schwert";""
"item.fossil.bucket_item_alligator_gar";"Bucket of Alligator Gar";"Alligatorhechteimer";""
"item.fossil.bucket_item_aquilolamna";"Bucket of Aquilolamna";"Aquilolamnaeimer";""
"item.fossil.bucket_item_coelacanth";"Bucket of Coelacanth";"Quastenflossereimer";""
"item.fossil.bucket_item_crassigyrinus";"Bucket of Crassigyrinus";"Crassigyrinuseimer";""
"item.fossil.bucket_item_dicranurus";"Bucket of Dicranurus";"Dicranuruseimer";""
"item.fossil.bucket_item_diplocaulus";"Bucket of Diplocaulus";"Diplocauluseimer";""
"item.fossil.bucket_item_henodus";"Bucket of Henodus";"Henoduseimer";""
"item.fossil.bucket_item_ichthyosaurus";"Bucket of Ichthyosaurus";"Ichthyosauruseimer";""
"item.fossil.bucket_item_lonchodomas";"Bucket of Lonchodomas";"Lonchodomaseimer";""
"item.fossil.bucket_item_megalograptus";"Bucket of Megalograptus";"Megalograptuseimer";""
"item.fossil.bucket_item_nautilus";"Bucket of Nautilus";"Nautiluseimer";""
"item.fossil.bucket_item_plesiosaurus";"Bucket of Plesiosaurus";"Plesiosauruseimer";""
"item.fossil.bucket_item_scotoharpes";"Bucket of Scotoharpes";"Scotoharpeseimer";""
"item.fossil.bucket_item_sturgeon";"Bucket of Sturgeon";"Störeneimer";""
"item.fossil.bucket_item_tiktaalik";"Bucket of Tiktaalik";"Tiktaalikeimer";""
"item.fossil.bucket_item_walliserops";"Bucket of Walliserops";"Walliseropseimer";""
"item.fossil.chicken_soup_raw";"Raw Chicken Soup";"Rohe Hühnchensuppe";""
"item.fossil.chicken_soup_cooked";"Cooked Chicken Soup";"Gekochte Hühnchensuppe";""
"item.fossil.cooked_egg";"Cooked Egg";"Gekochtes Ei";""
"item.fossil.cooked_nautilus";"Sio-Chiu-Le";"Sio-Chiu-Le";""
"item.fossil.dinopedia";"Dinopedia";"Dinopedia";""
"item.fossil.cooked_meat";"Cooked %s Meat";"Gekochtes %sfleisch";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.meat";"Raw %s Meat";"Rohes %sfleisch";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.dna";"%s DNA";"%s DNS";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bird_egg";"%s Egg";"%s Ei";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.bird_egg_cultivated";"Cultivated %s Egg";"Kultiviertes %sei";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.egg";"%s Egg";"%sei";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.fish_egg";"%s Fish Egg";"%s Laiche";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.sac";"%s Sac";"%ssack";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.embryo";"%s Embryo";"%s Embryo";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.essence_chicken";"Chicken Essence";"Hühneressenz";""
"item.fossil.essence_chicken.desc";"Can age a prehistoric animal if it's not too hungry";"Lässt ein prähistorisches Tier altern, wenn es nicht zu hungrig ist";""
"item.fossil.essence_stunted";"Stunted Essence";"Verkümmerte Essenz";""
"item.fossil.essence_stunted.desc";"Stunts prehistoric animal growth";"Hemmt das Wachstum prähistorischer Tiere";""
"item.fossil.failuresaurus_flesh";"Failuresaurus Flesh";"Fehlersaurierfleisch";""
"item.fossil.fern_seed";"Ancient Fern Spores";"Antike Farnsporen";""
"item.fossil.fossil_bio";"Bio Fossil";"Biofossil";""
"item.fossil.fossil_plant";"Plant Fossil";"Pflanzenfossil";""
"item.fossil.fossil_shale";"Shale Fossil";"Schieferfossil";""
"item.fossil.fossil_tar";"Tar Fossil";"Teerfossil";""
"item.fossil.fossil_sapling_calamites";"Petrified Calamites Sapling";"Versteinerter Calamites Setzling";""
"item.fossil.fossil_sapling_cordaites";"Petrified Cordaites Sapling";"Versteinerter Cordaites Setzling";""
"item.fossil.fossil_sapling_palm";"Petrified Palm Sapling";"Versteinerter Palaeoraphe Setzling";""
"item.fossil.fossil_sapling_sigillaria";"Petrified Sigillaria Sapling";"Versteinerter Sigillaria Setzling";""
"item.fossil.fossil_sapling_tempskya";"Petrified Tempskya Sapling";"Versteinerter Tempskya Setzling";""
"item.fossil.fossil_seed_fern";"Fossilized Fern Spores";"Versteinerte Farnsporen";""
"item.fossil.fossil_seed_bennettitales";"Fossilized Bennettitales Seeds";"Versteinerter Bennettitales Samen";""
"item.fossil.fossil_seed_cephalotaxus";"Fossilized Cephalotaxus Seeds";"Versteinerter Cephalotaxus Samen";""
"item.fossil.fossil_seed_crataegus";"Fossilized Crataegus Seeds";"Versteinerter Crataegus Samen";""
"item.fossil.fossil_seed_cyathea";"Fossilized Cyathea Seeds";"Versteinerter Cyathea Samen";""
"item.fossil.fossil_seed_dictyophyllum";"Fossilized Dictyophyllum Seeds";"Versteinerter Dictyophyllum Samen";""
"item.fossil.fossil_seed_dillhoffia";"Fossilized Dillhoffia Seeds";"Versteinerter Dillhoffia Samen";""
"item.fossil.fossil_seed_dipteris";"Fossilized Dipteris Spores";"Versteinerte Dipteris Sporen";""
"item.fossil.fossil_seed_duisbergia";"Fossilized Duisbergia Spores";"Versteinerte Duisbergia Sporen";""
"item.fossil.fossil_seed_ephedra";"Fossilized Ephedra Seeds";"Versteinerter Ephedra Samen";""
"item.fossil.fossil_seed_florissantia";"Fossilized Florissantia Seeds";"Versteinerter Florissantia Samen";""
"item.fossil.fossil_seed_foozia";"Fossilized Foozia Spores";"Versteinerte Foozia Sporen";""
"item.fossil.fossil_seed_horsetail";"Fossilized Horsetail Seeds";"Versteinerte Schachtelhalm Samen";""
"item.fossil.fossil_seed_licopodiophyta";"Fossilized Licopodiophyta Seeds";"Versteinerte Archaeosigillaria Sporen";""
"item.fossil.fossil_seed_osmunda";"Fossilized Osmunda Spores";"Versteinerte Osmunda Sporen";""
"item.fossil.fossil_seed_sagenopteris";"Fossilized Sagenopteris Seeds";"Versteinerter Sagenopteris Samen";""
"item.fossil.fossil_seed_sarracenia";"Fossilized Sarracenia Seeds";"Versteinerter Sarracenia Samen";""
"item.fossil.fossil_seed_vaccinium";"Fossilized Vaccinium Seeds";"Versteinerter Vaccinium Samen";""
"item.fossil.fossil_seed_welwitschia";"Fossilized Welwitschia Seeds";"Versteinerter Welwitschia Samen";""
"item.fossil.fossil_seed_zamites";"Fossilized Zamites Seeds";"Versteinerter Zamites Samen";""
"item.fossil.seed_bennettitales";"Bennettitales Seeds";"Bennettitales Samen";""
"item.fossil.seed_cephalotaxus";"Cephalotaxus Seeds";"Cephalotaxus Samen";""
"item.fossil.seed_crataegus";"Crataegus Seeds";"Crataegus Samen";""
"item.fossil.seed_cyathea";"Cyathea Seeds";"Cyathea Samen";""
"item.fossil.seed_dictyophyllum";"Dictyophyllum Seeds";"Dictyophyllum Samen";""
"item.fossil.seed_dillhoffia";"Dillhoffia Seeds";"Dillhoffia Samen";""
"item.fossil.seed_dipteris";"Dipteris Spores";"Dipteris Sporen";""
"item.fossil.seed_duisbergia";"Duisbergia Spores";"Duisbergia Sporen";""
"item.fossil.seed_ephedra";"Ephedra Seeds";"Ephedra Samen";""
"item.fossil.seed_florissantia";"Florissantia Seeds";"Florissantia Samen";""
"item.fossil.seed_foozia";"Foozia Spores";"Foozia Sporen";""
"item.fossil.seed_horsetail";"Horsetail Seeds";"Schachtelhalm Sporen";""
"item.fossil.seed_licopodiophyta";"Licopodiophyta Seeds";"Archaeosigillaria Sporen";""
"item.fossil.seed_osmunda";"Osmunda Spores";"Osmunda Sporen";""
"item.fossil.seed_sagenopteris";"Sagenopteris Seeds";"Sagenopteris Samen";""
"item.fossil.seed_sarracenia";"Sarracenia Seeds";"Sarracenia Samen";""
"item.fossil.seed_vaccinium";"Vaccinium Seeds";"Vaccinium Samen";""
"item.fossil.seed_welwitschia";"Welwitschia Seeds";"Welwitschia Samen";""
"item.fossil.seed_zamites";"Zamites Seeds";"Zamites Samen";""
"item.fossil.frozen_meat";"Frozen Meat";"Gefrorenes Fleisch";""
"item.fossil.fur_elasmotherium";"Elasmotherium Fur";"Elasmotheriumfell";""
"item.fossil.fur_mammoth";"Mammoth Fur";"Mammutfell";""
"item.fossil.fur_therizinosaurus";"Therizinosaurus Down";"Therizinosaurusdaunen";""
"item.fossil.magic_conch";"Magic Conch";"Magische Muschelschale";""
"item.fossil.pottery_shard";"Pottery Shard";"Keramikscherbe";""
"item.fossil.music_disc_anu";"Music Disc";"Schallplatte";""
"item.fossil.music_disc_anu.desc";"Nanotyrano - Awakening";"Nanotyrano - Erwachen";""
"item.fossil.music_disc_bones";"Music Disc";"Schallplatte";""
"item.fossil.music_disc_bones.desc";"WhiteJoshMan - Bones";"WhiteJoshMan - Knochen";""
"item.fossil.music_disc_discovery";"Music Disc";"Schallplatte";""
"item.fossil.music_disc_discovery.desc";"Nanotyrano - Discovering the Past";"Nanotyrano - Entdeckung der Vergangenheit";""
"item.fossil.music_disc_scarab";"Music Disc";"Schallplatte";""
"item.fossil.music_disc_scarab.desc";"Nanotyrano - Legend of the Scarab";"Nanotyrano - Legende des Skarabäus";""
"item.fossil.relic_scrap";"Relic Scrap";"Reliktschrott";""
"item.fossil.scarab_axe";"Scarab Axe";"Skarabäusaxt";""
"item.fossil.scarab_gem";"Scarab Gem";"Skarabäus";""
"item.fossil.scarab_gem_aquatic";"Aquatic Scarab Gem";"Aquatischer Skarabäus";""
"item.fossil.scarab_hoe";"Scarab Hoe";"Skarabäushacke";""
"item.fossil.scarab_pickaxe";"Scarab Pickaxe";"Skarabäusspitzhacke";""
"item.fossil.scarab_shovel";"Scarab Shovel";"Skarabäusschaufel";""
"item.fossil.scarab_sword";"Scarab Sword";"Skarabäusschwert";""
"item.fossil.spawn_egg_tar_slime";"Tar Slime Spawn Egg";"Teerschleim-Spawn-Ei";""
"item.fossil.spawn_egg_anu_boss";"Anu Boss Spawn Egg";"Anu-Spawn-Ei";""
"item.fossil.spawn_egg_sentry_piglin";"Sentry Piglin Spawn Egg";"Wächter-Piglin-Spawn-Ei";""
"item.fossil.spawn_egg_failuresaurus";"Failuresaurus Spawn Egg";"Fehlersaurier-Spawn-Ei";""
"item.fossil.spawn_egg_generic";"%s Spawn Egg";"%s-Spawn-Ei";"Keep the variable %s. It will be replaced with the translated name of the mob"
"item.fossil.skull_stick";"Skull Stick";"Totenkopf-Stock";""
"item.fossil.stone_tablet";"Stone Tablet";"Steintafel";""
"item.fossil.tar_bucket";"Tar Bucket";"Teereimer";""
"item.fossil.tar_drop";"Tar Drop";"Teertropfen";""
"item.fossil.tooth_dagger";"Tooth Dagger";"Zahndolch";""
"item.fossil.toy_ball_white";"White Toy Ball";"Weißer Ball";""
"item.fossil.toy_ball_orange";"Orange Toy Ball";"Oranger Ball";""
"item.fossil.toy_ball_magenta";"Magenta Toy Ball";"Magenta Ball";""
"item.fossil.toy_ball_light_blue";"Light Blue Toy Ball";"Hellblauer Ball";""
"item.fossil.toy_ball_yellow";"Yellow Toy Ball";"Gelber Ball";""
"item.fossil.toy_ball_lime";"Lime Toy Ball";"Hellgrüner Ball";""
"item.fossil.toy_ball_pink";"Pink Toy Ball";"Rosa Ball";""
"item.fossil.toy_ball_gray";"Gray Toy Ball";"Grauer Ball";""
"item.fossil.toy_ball_light_gray";"Light Gray Toy Ball";"Hellgrauer Ball";""
"item.fossil.toy_ball_cyan";"Cyan Toy Ball";"Türkiser Ball";""
"item.fossil.toy_ball_purple";"Purple Toy Ball";"Violetter Ball";""
"item.fossil.toy_ball_blue";"Blue Toy Ball";"Blauer Ball";""
"item.fossil.toy_ball_brown";"Brown Toy Ball";"Brauner Ball";""
"item.fossil.toy_ball_green";"Green Toy Ball";"Grüner Ball";""
"item.fossil.toy_ball_red";"Red Toy Ball";"Roter Ball";""
"item.fossil.toy_ball_black";"Black Toy Ball";"Schwarzer Ball";""
"item.fossil.toy_scratching_post_acacia";"Acacia Scratching Post";"Akazienkratzbaum";""
"item.fossil.toy_scratching_post_birch";"Birch Scratching Post";"Birkenkratzbaum";""
"item.fossil.toy_scratching_post_crimson";"Crimson Scratching Post";"Karmesinkratzbaum";""
"item.fossil.toy_scratching_post_dark_oak";"Dark Oak Scratching Post";"Schwarzeichenkratzbaum";""
"item.fossil.toy_scratching_post_jungle";"Jungle Scratching Post";"Tropenkratzbaum";""
"item.fossil.toy_scratching_post_oak";"Oak Scratching Post";"Kratzbaum";""
"item.fossil.toy_scratching_post_spruce";"Spruce Scratching Post";"Fichtenkratzbaum";""
"item.fossil.toy_scratching_post_warped";"Warped Scratching Post";"Wirrkratzbaum";""
"item.fossil.toy_tethered_log_acacia";"Acacia Tethered Log";"Akazienholz am Seil";""
"item.fossil.toy_tethered_log_birch";"Birch Tethered Log";"Birkenholz am Seil";""
"item.fossil.toy_tethered_log_crimson";"Crimson Tethered Log";"Karmesinholz am Seil";""
"item.fossil.toy_tethered_log_dark_oak";"Dark Oak Tethered Log";"Schwarzeichenholz am Seil";""
"item.fossil.toy_tethered_log_jungle";"Jungle Tethered Log";"Tropenholz am Seil";""
"item.fossil.toy_tethered_log_oak";"Oak Tethered Log";"Holz mit Seil";""
"item.fossil.toy_tethered_log_spruce";"Spruce Tethered Log";"Fichtenholz am Seil";""
"item.fossil.toy_tethered_log_warped";"Warped Tethered Log";"Wirrholz am Seil";""
"item.fossil.whip";"Whip";"Peitsche";""
"item.fossil.ancient_javelin";"Ancient Javelin";"Antiker Speer";""
"item.fossil.diamond_javelin";"Diamond Javelin";"Diamantspeer";""
"item.fossil.gold_javelin";"Gold Javelin";"Goldspeer";""
"item.fossil.iron_javelin";"Iron Javelin";"Eisenspeer";""
"item.fossil.stone_javelin";"Stone Javelin";"Steinspeer";""
"item.fossil.wooden_javelin";"Wooden Javelin";"Holzspeer";""
"item.fossil.laser_pointer";"Laser Pointer";"Laserpointer";""
"block.fossil.large_chain_fence";"Large Chain Fence";"Großer Kettenzaun";""
"block.fossil.small_chain_fence";"Small Chain Fence";"Kleiner Kettenzaun";""
"block.fossil.amber_block";"Amber Block";"Bernsteinblock";""
"block.fossil.amber_chunk";"Amber Chunk";"Bernsteinbrocken";""
"block.fossil.amber_chunk_dominican";"Dominican Amber Chunk";"Dominikanischer Bernsteinbrocken";""
"block.fossil.amber_chunk_mosquito";"Mosquito Amber Chunk";"Bernsteinbrocken mit Mücke";""
"block.fossil.amber_ore";"Amber Ore";"Bernsteinerz";""
"block.fossil.analyzer";"Analyzer";"Analysator";""
"block.fossil.ancient_chest";"Ancient Chest";"Antike Schatztruhe";""
"block.fossil.ancient_glass";"Ancient Glass";"Antikes Glas";""
"block.fossil.ancient_stone";"Ancient Stone";"Antiker Stein";""
"block.fossil.ancient_stone_bricks";"Ancient Stone Bricks";"Antiker Steinziegel";""
"block.fossil.ancient_stone_slab";"Ancient Stone Slab";"Antike Steinstufe";""
"block.fossil.ancient_stone_stairs";"Ancient Stone Stairs";"Antike Steintreppe";""
"block.fossil.ancient_stone_wall";"Ancient Stone Wall";"Antike Steinmauer";""
"block.fossil.ancient_wood_planks";"Ancient Wood Planks";"Antikes Holz";""
"block.fossil.ancient_wood_log";"Ancient Wood Log";"Antike Holzstamm";""
"block.fossil.ancient_wood_slab";"Ancient Wood Slab";"Antike Holzstufe";""
"block.fossil.ancient_wood_stairs";"Ancient Wood Stairs";"Antike Holztreppe";""
"block.fossil.anu_statue";"Anu Statue";"Anu Totem";""
"block.fossil.anubite_statue";"Anubite Statue";"Anubitstatue";""
"block.fossil.bubble_blower";"Bubble Blower";"Seifenblasenmaschine";""
"block.fossil.calamites_button";"Calamites Button";"Calamitesknopf";""
"block.fossil.calamites_door";"Calamites Door";"Calamitestür";""
"block.fossil.calamites_fence";"Calamites Fence";"Calamiteszaun";""
"block.fossil.calamites_fence_gate";"Calamites Fence Gate";"Calamiteszauntor";""
"block.fossil.calamites_leaves";"Calamites Leaves";"Calamiteslaub";""
"block.fossil.calamites_log";"Calamites Log";"Calamitesholz";""
"block.fossil.calamites_planks";"Calamites Wood Planks";"Calamitesbretter";""
"block.fossil.calamites_pressure_plate";"Calamites Pressure Plate";"Calamitesdruckplatte";""
"block.fossil.calamites_sapling";"Calamites Sapling";"Calamitessetzling";""
"block.fossil.calamites_slab";"Calamites Wood Slab";"Calamitesstufe";""
"block.fossil.calamites_stairs";"Calamites Wood Stairs";"Calamitestreppe";""
"block.fossil.calamites_trapdoor";"Calamites Trapdoor";"Calamitesfalltür";""
"block.fossil.calamites_wood";"Calamites Wood";"Calamitesholz";""
"block.fossil.cordaites_button";"Cordaites Button";"Cordaitesknopf";""
"block.fossil.cordaites_door";"Cordaites Door";"Cordaitesholztür";""
"block.fossil.cordaites_fence";"Cordaites Fence";"Cordaiteszaun";""
"block.fossil.cordaites_fence_gate";"Cordaites Fence Gate";"Cordaiteszauntor";""
"block.fossil.cordaites_leaves";"Cordaites Leaves";"Cordaiteslaub";""
"block.fossil.cordaites_log";"Cordaites Log";"Cordaitesstamm";""
"block.fossil.cordaites_planks";"Cordaites Wood Planks";"Cordaitesholzbretter";""
"block.fossil.cordaites_pressure_plate";"Cordaites Pressure Plate";"Cordaitesdruckplatte";""
"block.fossil.cordaites_sapling";"Cordaites Sapling";"Cordaitessetzling";""
"block.fossil.cordaites_slab";"Cordaites Wood Slab";"Cordaitesholzstufe";""
"block.fossil.cordaites_stairs";"Cordaites Wood Stairs";"Cordaitesholztreppe";""
"block.fossil.cordaites_trapdoor";"Cordaites Trapdoor";"Cordaitesholzfalltür";""
"block.fossil.cordaites_wood";"Cordaites Wood";"Cordaitesholz";""
"block.fossil.mutant_tree_button";"Mutant Tree Button";"Mutantenbaumknopf";""
"block.fossil.mutant_tree_door";"Mutant Tree Door";"Mutantenbaumtür";""
"block.fossil.mutant_tree_fence";"Mutant Tree Fence";"Mutantenbaumzaun";""
"block.fossil.mutant_tree_fence_gate";"Mutant Tree Fence Gate";"Mutantenbaumzauntür";""
"block.fossil.mutant_tree_leaves";"Mutant Tree Leaves";"Mutantenbaumlaub";""
"block.fossil.mutant_tree_log";"Mutant Tree Log";"Mutantenbaumstamm";""
"block.fossil.mutant_tree_planks";"Mutant Tree Wood Planks";"Mutantenbaumplanken";""
